City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,MID,,,,
Ahmedabad,01-01-21,,35.57,0.92,18.22,17.15,,0.92,27.64,133.36,0,0.02,0,544,Severe,5dc2c157ddcd97f36c94faab478c38f463f78ae3,,,,
Ahmedabad,02-01-21,,28.41,0.97,15.69,16.46,,0.97,24.55,34.06,3.68,5.5,3.77,676,Severe,ddc40ffc47069f3714c8da65843f36f41ed0f8bb,,,,
Ahmedabad,03-01-21,,35.12,17.4,19.3,29.7,,17.4,29.07,30.7,6.8,16.4,2.25,767,Severe,e49c9e5b4f77c5cdbf6fa77343d767d909548dea,,,,
Ahmedabad,04-01-21,,39.48,1.7,18.48,17.97,,1.7,18.59,36.08,4.43,10.14,1,459,Very Poor,00340eea543336d54adda18236424de6a5e91c9d,,,,
Ahmedabad,05-01-21,,74.55,22.1,21.42,37.76,,22.1,39.33,39.31,7.01,18.89,2.78,564,Very Poor,b12f20ae397aa504f852fc25caeb3e3b0e5b1942,,,,
Ahmedabad,06-01-21,,101.39,45.41,38.48,81.5,,45.41,45.76,46.51,5.42,10.83,1.93,653,Very Poor,984e07e449dde660098275470dd952cc88df3223,,,,
Ahmedabad,07-01-21,,137.41,112.16,40.62,130.77,,112.16,32.28,33.47,0,0,0,435,Very Poor,6c7c93c25caa6d94c70c891e2446a4a12e729365,,,,
Ahmedabad,08-01-21,,148.15,80.87,36.74,96.75,,80.87,38.54,31.89,0,0,0,243,Very Poor,9ad252c633b7596a4b64ca9f1699a0db5ce99c05,,,,
Ahmedabad,09-01-21,,135.44,29.16,31,48,,29.16,58.68,25.75,0,0,0,543,Poor,584b43ae1d473b93ad7b6c95d681e8f356ba82cd,,,,
Ahmedabad,10-01-21,,128.86,,7.04,0,,,8.29,4.55,0,0,0,123,Moderate,a5c214b0c76d5a11c11deef9d25adafaffa4bfe9,,,,
Ahmedabad,11-01-21,,128.41,132.07,55.8,24.53,,132.07,25.03,6.79,0,0,0,340,Poor,430088e2d738c4c20413082888b2666668c9105f,,,,
Ahmedabad,12-01-21,,82.75,52.04,40.67,90.24,,52.04,51.84,45.89,2.41,0.03,7.88,456,Poor,2cd8b9a41c271e30c064212f8e113204d3e6e29e,,,,
Ahmedabad,13-01-21,,68.41,48.82,44.2,87.09,,48.82,68.21,35.16,9.45,13.35,12.5,560,Very Poor,e1200121af466e437f3cf17aa10654b7725edb07,,,,
Ahmedabad,14-01-21,,69.2,19.2,27.86,33.05,,19.2,52.65,20.96,2.16,2.26,5.19,340,Very Poor,bf3f1752cf136693453f34b968adcbae605fc38b,,,,
Ahmedabad,15-01-21,,76.67,0.6,16.96,16.6,,0.6,28.89,47.63,0.14,0.04,1.35,430,Very Poor,50be853b37945ba63f2fa2c4654b8c57ce0c1597,,,,
Ahmedabad,16-01-21,,91.06,1.63,21.72,22.86,,1.63,38.27,46.03,0.35,0.05,2.01,456,Severe,e367637e063ec728b13f3685e8aee5f775c553cd,,,,
Ahmedabad,17-01-21,,97.67,11.44,24.73,34.75,,11.44,49.5,52.24,0.68,0,3.27,560,Severe,6be177e9b694282436d5d625d2ee3ae86a4db93a,,,,
Ahmedabad,18-01-21,,104.25,6.1,25.77,29.57,,6.1,48.43,53.49,0.74,0.21,2.75,120,Moderate,1a9d52bf91d858565ab0ccc8cab03e919ef6e5c3,,,,
Ahmedabad,19-01-21,,109.47,2.51,26.88,27.45,,2.51,50.03,49.48,0.26,0.02,2.8,112,Moderate,2757708c4f72260abefb9d74302d868165cbc1a4,,,,
Ahmedabad,20-01-21,,72.25,7.92,26.8,32.4,,7.92,58.87,56.37,0.24,0.01,3.97,340,Poor,10aa307dc5239e819a19dd696b7f3e5bd34a37b1,,,,
Ahmedabad,21-01-21,,89.89,9.52,33.56,39.28,,9.52,106.93,48.75,0.33,0,5.65,345,Poor,c7f56ac99072a397fddf17d3f1d2e34d4146edbe,,,,
Ahmedabad,22-01-21,,113.24,9.05,17.51,22.33,,9.05,23.71,42.22,0,0,4.51,230,Very Poor,39ab0e9d7a93e6a7483bf4851e69cd66d2653256,,,,
Ahmedabad,23-01-21,,97.39,22.53,27.96,47.79,,22.53,39.19,32.92,0.39,0,5.95,540,Severe,e05ece9c6fdb3e9942598685bb94748b97d88e16,,,,
Ahmedabad,24-01-21,,87.02,2.03,20.39,21.4,,2.03,40.07,32.49,0.47,0.7,1.54,430,Severe,e63ae71c6969c43fbe201c471c3f1bc3edfb7948,,,,
Ahmedabad,25-01-21,,100.23,1.42,20.43,20.19,,1.42,58.41,39.26,0.01,0,0.94,230,Poor,17643a57b92abf0d6635d308949e78de2ecc7f66,,,,
Ahmedabad,26-01-21,,111.89,2.27,21.16,21.81,,2.27,43.73,39.83,0.06,0,1.55,560,Very Poor,1968f8d8ffe3f695372d919c9966b1ca412b83d2,,,,
